product_id,product_name,main_category,sub_category,actual_price,discounted_price,discount_percentage,rating,rating_count
B09J2QCKKM,havells zella flap auto immersion rod 1500 watts,home&kitchen,"heating,cooling&airquality",40.01,17.21,57.0,4.1,303.0
B09J2SCVQT,nutripro juicer mixer grinder - smoothie maker - 500 watts (3 jars 2 blades),home&kitchen,kitchen&homeappliances,57.16,22.29,61.0,4.1,4927.0
B09J4YQYX3,"borosil electric egg boiler, 8 egg capacity, for hard, soft, medium boiled eggs, steamed vegetables, transparent lid, stainless steel exterior (500 watts)",home&kitchen,kitchen&homeappliances,26.18,15.97,39.0,4.4,461.0
B09JFR8H3Q,"macmillan aquafresh 5 micron ps-05 10"" in pp spun filter candle set for all type ro water purifier 10 inch (4)",home&kitchen,kitchen&homeappliances,17.14,2.4,86.0,3.9,1004.0
B09JKNF147,electvision remote control compatible with kodak/thomson smart led tv (without voice) before placing order for verification contact our coustmer care 7738090464,electronics,"hometheater,tv&video",22.85,3.89,83.0,4.0,343.0
B09JN37WBX,lint remover woolen clothes lint extractor battery lint removing machine bhur remover,home&kitchen,kitchen&homeappliances,8.56,3.68,57.0,4.6,124.0
B09JPC82QC,mi 108 cm (43 inches) full hd android led tv 4c | l43m6-inc (black),electronics,"hometheater,tv&video",400.12,228.07,43.0,4.3,27151.0
B09JS562TP,"motorola a10 dual sim keypad mobile with 1750 mah battery, expandable storage upto 32gb, wireless fm with recording - rose gold",electronics,mobiles&accessories,18.63,16.03,14.0,4.0,9378.0
B09JS94MBV,"motorola a10 dual sim keypad mobile with 1750 mah battery, expandable storage upto 32gb, wireless fm with recording - dark blue",electronics,mobiles&accessories,18.63,16.03,14.0,4.0,9378.0
B09JSW16QD,"boat ltg 550v3 lightning apple mfi certified cable with spaceship grade aluminium housing,stress resistance, rapid 2.4a charging & 480mbps data sync, 1m length & 10000+ bends lifespan(mercurial black)",computers&accessories,accessories&peripherals,17.03,9.71,43.0,3.9,356.0
B09KGV7WSV,"kingone upgraded stylus pen, ipad pencil, ultra high precision & sensitivity, palm rejection, prevents false on/off touch, power display, tilt sensitivity, magnetic adsorption for ipad 2018 and later",electronics,mobiles&accessories,68.58,24.0,65.0,4.3,17129.0
B09KH58JZR,portronics konnect l por-1403 fast charging 3a type-c cable 1.2 meter with charge & sync function for all type-c devices (white),computers&accessories,accessories&peripherals,4.56,2.42,47.0,4.1,1717.0
B09KLVMZ3B,portronics konnect l 1.2m por-1401 fast charging 3a 8 pin usb cable with charge & sync function (white),computers&accessories,accessories&peripherals,4.56,1.82,60.0,4.1,4768.0
B09KNMLH4Y,"r b nova lint/fabric shaver for cloths, lint remover for woolen sweaters, blankets, jackets/burr remover pill remover from carpets, pack of 1",home&kitchen,kitchen&homeappliances,22.85,4.57,80.0,4.1,257.0
B09KPXTZXN,"rico japanese technology rechargeable wireless electric chopper with replacement warranty - stainless steel blades, one touch operation, 10 seconds chopping, mincing vegetable, meat - 250 ml, 30 watts",home&kitchen,kitchen&homeappliances,22.85,10.74,53.0,4.0,1679.0
B09KRHXTLN,"candes gloster all in one silent blower fan room heater ideal for small and medium area, 2000 watts (white)",home&kitchen,"heating,cooling&airquality",19.42,12.24,37.0,3.9,313.0
B09L835C3V,"smashtronics® - case for firetv remote, fire stick remote cover case, silicone cover for tv firestick 4k/tv 2nd gen(3rd gen) remote control - light weight/anti slip/shockproof (black)",electronics,"hometheater,tv&video",4.56,2.28,50.0,4.2,1335.0
B09L8DSSFH,7seven® compatible for samsung smart 4k ultra hd tv monitor remote control replacement of original samsung tv remote for led oled uhd qled and suitable for 6 7 8 series samsung tv with hot keys bn59-01259e,electronics,"hometheater,tv&video",11.42,4.57,60.0,3.6,493.0
B09L8DT7D6,sony tv - remote compatible for sony led remote control works with sony led tv by trend trail speed tech & remote hi remote & reo india only,electronics,"hometheater,tv&video",5.7,2.34,59.0,3.8,313.0
B09LD3116F,qubo smart cam 360 from hero group | made in india | 2mp 1080p full hd | cctv wi-fi camera | 360 degree coverage| two way talk | mobile app connectivity | night vision | cloud & sd card recording,electronics,cameras&photography,45.61,28.28,38.0,4.1,3606.0
B09LH32678,"jialto mini waffle maker 4 inch- 350 watts: stainless steel non-stick electric iron machine for individual belgian waffles, pan cakes, paninis or other snacks - aqua blue",home&kitchen,kitchen&homeappliances,22.85,10.28,55.0,4.0,832.0
B09LHXNZLR,"skadioo wifi adapter for pc | car accessories, wifi dongle for pc | usb wifi adapter for pc | wi-fi receiver 2.4ghz, 802.11b/g/n unano size wifi dongle compatible adapter,wifi dongle for pc",computers&accessories,networkingdevices,5.7,2.28,60.0,3.7,612.0
B09LHYZ3GJ,"redmi note 11t 5g (matte black, 6gb ram, 128gb rom)| dimensity 810 5g | 33w pro fast charging | charger included | additional exchange offers|get 2 months of youtube premium free!",electronics,mobiles&accessories,240.07,194.45,19.0,4.1,31822.0
B09LHZSMRR,"redmi note 11t 5g (stardust white, 6gb ram, 128gb rom)| dimensity 810 5g | 33w pro fast charging | charger included | additional exchange offers|get 2 months of youtube premium free!",electronics,mobiles&accessories,240.07,194.45,19.0,4.1,31822.0
B09LJ116B5,"redmi note 11t 5g (aquamarine blue, 6gb ram, 128gb rom)| dimensity 810 5g | 33w pro fast charging | charger included | additional exchange offers| get 2 months of youtube premium free!",electronics,mobiles&accessories,240.07,194.45,19.0,4.1,31822.0
B09LMMFW3S,"ikea milk frother for your milk, coffee,(cold and hot drinks), black",home&kitchen,kitchen&homeappliances,4.56,2.6,43.0,3.6,451.0
B09LQH3SD9,"lifelong llqh922 regalia 800 w (isi certified) quartz room heater with 2 power settings, overheating protection, 2 rod heater (1 year warranty, white)",home&kitchen,"heating,cooling&airquality",22.86,11.43,50.0,3.8,1163.0
B09LQQYNZQ,realme smart tv stick 4k,electronics,homeaudio,53.72,53.72,0.0,4.5,224.0
B09LRZYBH1,"krisons thunder speaker, multimedia home theatre, floor standing speaker, led display with bluetooth, fm, usb, micro sd card, aux connectivity",electronics,homeaudio,45.72,26.06,43.0,3.8,282.0
B09LV13JFB,lohaya voice assistant remote compatible for airtel xstream set-top box remote control with netflix function (black) (non - voice),electronics,"hometheater,tv&video",11.42,4.57,60.0,3.3,23.0
B09LV1CMGH,"lifelong llfh921 regalia 2000 w fan heater, 3 air settings, room heater with overheating protection, 1 year warranty ( white, (isi certified, ideal for small to medium room/area)",home&kitchen,"heating,cooling&airquality",22.86,10.29,55.0,3.6,291.0
B09M3F4HGB,"borosil volcano 13 fin oil filled radiator room heater, 2900 w, black",home&kitchen,"heating,cooling&airquality",217.1,108.55,50.0,4.2,79.0
B09M869Z5V,portronics mport 31c 4-in-1 usb hub (type c to 4 usb-a ports) with fast data transfer,computers&accessories,accessories&peripherals,11.42,6.51,43.0,4.2,3201.0
B09M8888DM,portronics mport 31 4 ports usb hub (usb a to 4 usb-a ports 4 in 1 connector usb hub(grey),computers&accessories,accessories&peripherals,9.13,5.66,38.0,4.3,2125.0
B09MB3DKG1,"khaitan avaante ka-2013 1200 watt 3-rod halogen heater (1200 watts, grey)",home&kitchen,"heating,cooling&airquality",45.72,25.14,45.0,3.5,340.0
B09MDCZJXS,"wings phantom pro earphones gaming earbuds with led battery indicator, 50ms low latency, bluetooth 5.3, 40 hours playtime, mems mic, ipx4 resist, 12mm driver, 500mah case, headphones, (black tws)",computers&accessories,accessories&peripherals,62.87,13.83,78.0,3.8,2043.0
B09MFR93KS,"bajaj rex dlx 750 w 4 jars mixer grinder, white and blue",home&kitchen,kitchen&homeappliances,68.58,34.98,49.0,4.0,777.0
B09MJ77786,mi 108 cm (43 inches) 5x series 4k ultra hd led smart android tv l43m6-es (grey),electronics,"hometheater,tv&video",571.6,365.83,36.0,4.3,21252.0
B09MKG4ZCM,"xiaomi mi 4a dual_band ethernet 1200mbps speed router| 2.4ghz & 5ghz frequency|128mb ram | dualcore 4 thread cpu|4 omni directional antenna|mi wi-fi app-parental control & anti hacking|repeater, white",computers&accessories,networkingdevices,34.29,17.83,48.0,4.0,11113.0
B09MKP344P,"tecno spark 8t (turquoise cyan, 4gb ram,64gb storage) | 50mp ai camera | 7gb expandable ram",electronics,mobiles&accessories,148.61,96.6,35.0,4.1,6662.0
B09MM6P76N,7seven® compatible lg smart tv remote suitable for any lg led oled lcd uhd plasma android television and akb75095303 replacement of original lg tv remote control,electronics,"hometheater,tv&video",6.85,3.97,42.0,4.2,284.0
B09MMD1FDN,7seven® suitable sony tv remote original bravia for smart android television compatible for any model of lcd led oled uhd 4k universal sony remote control,electronics,"hometheater,tv&video",7.99,4.0,50.0,3.9,214.0
B09MQ9PDHR,saiellin room heater for home 2000 watts room heater for bedroom | isi approved with 1 year warranty | for 250 sq. feet blower heater & room heaters home for winters,home&kitchen,"heating,cooling&airquality",22.85,11.2,51.0,3.9,157.0
B09MQSCJQ1,"boat xtend smartwatch with alexa built-in, 1.69” hd display, multiple watch faces, stress monitor, heart & spo2 monitoring, 14 sports modes, sleep monitor, 5 atm & 7 days battery(charcoal black)",electronics,wearabletechnology,91.34,26.49,71.0,4.2,69620.5
B09MT6XSFW,"samsung evo plus 64gb microsdxc uhs-i u1 130mb/s full hd & 4k uhd memory card with adapter (mb-mc64ka), blue",electronics,accessories,21.71,6.95,68.0,4.3,140036.0
B09MT84WV5,"samsung evo plus 128gb microsdxc uhs-i u3 130mb/s full hd & 4k uhd memory card with adapter (mb-mc128ka), blue",electronics,accessories,45.72,12.575,72.5,4.3,140035.5
B09MT94QLL,"havells glaze 74w pearl ivory gold ceiling fan, sweep: 1200 mm",home&kitchen,"heating,cooling&airquality",54.59,22.93,58.0,4.2,1353.0
B09MTLG4TP,"saiellin electric lint remover for clothes fabric shaver lint shaver for woolen clothes blanket jackets stainless steel blades, clothes and furniture lint roller for fabrics portable lint shavers (white orange)",home&kitchen,kitchen&homeappliances,11.42,5.14,55.0,4.3,610.0
B09MY4W73Q,amozo ultra hybrid camera and drop protection back cover case for iphone 13 (polycarbonate| back transparent - sides black),electronics,mobiles&accessories,20.57,5.35,74.0,4.3,1454.0
B09MZ6WZ6V,"inovera world map extended anti slip rubber gaming stitched mouse pad desk mat for computer laptop (black, 900l x 400b x 2h mm)",computers&accessories,accessories&peripherals,11.42,5.71,50.0,4.4,1030.0
B09MZCQYHZ,"ambrane 10000mah slim power bank, 20w fast charging, dual output, type c pd (input & output), quick charge, li-polymer, multi-layer protection for iphone, anrdoid & other devices (stylo 10k, green)",electronics,mobiles&accessories,18.28,11.33,38.0,4.0,7222.0
B09N3BFP4M,"bajaj new shakti neo plus 15 litre 4 star rated storage water heater (geyser) with multiple safety system, white",home&kitchen,"heating,cooling&airquality",131.47,63.11,52.0,3.9,959.0
B09N3ZNHTY,"boat airdopes 141 bluetooth truly wireless in ear earbuds with mic, 42h playtime, beast mode(low latency upto 80ms) for gaming, enx tech, asap charge, iwp, ipx4 water resistance (bold black)",electronics,"headphones,earbuds&accessories",51.33,16.94,67.0,3.9,136954.0
